Column1;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
JNPR;0,001163605;-0,000460603;0,255577553;0,008675753;-0,002129328;0,117567091;0,729287693;0,324103579;0,170370282;3,57E-24;0,451027519
DPZ;-0,003230624;-0,001518358;0,297737098;0,006726016;-0,001562963;0,00023713;0,328053423;0,534164003;0,170444151;4,57E-13;0,303917923
HIG;0,009420285;-0,000734611;0,256876823;0,011020263;-0,002603926;4,35E-27;0,583542765;0,231208439;0,17099901;2,03E-33;0,674203566
KDP;0,001102353;-0,000171763;0,19998467;0,004367936;-0,000703419;0,059772035;0,869648451;0,678437637;0,172556244;2,64E-12;0,266670053
ED;0,00269586;-0,006805588;0,224526511;0,006021635;-0,002802665;6,05E-05;3,18E-08;0,144501123;0,175004112;9,60E-17;0,38782758
SPGI;-0,001380642;-0,003143162;0,204328264;0,010886216;-0,001218672;0,022400571;0,003932105;0,485855863;0,176119328;2,13E-43;0,649855517
QCOM;-0,001154956;0,000436936;-0,325481699;0,012753815;-0,000120745;0,228679497;0,799431824;0,965440562;0,176590126;5,07E-29;0,500205898
TMUS;-0,00059567;-0,00176164;0,234940716;0,006886183;9,17E-05;0,389493698;0,157058491;0,963657382;0,176770585;4,88E-19;0,365628178
GEN;0,00119114;-0,000436289;-0,328758132;0,006904377;-0,000393409;0,220789172;0,802402349;0,889263889;0,178205689;2,43E-11;0,217825171
AZO;0,002017928;-0,007138813;0,29699478;0,010690395;0,000155509;0,022602485;1,04E-05;0,951525836;0,179163448;1,55E-25;0,463873874
TDY;0,002448663;-0,00043097;0,255228121;0,010874427;-0,002751445;0,001412186;0,751213774;0,212564561;0,180040674;3,44E-32;0,556923564
MCD;0,001723112;-0,002404069;0,16815322;0,007594701;-0,000787405;0,000709355;0,008136663;0,589539393;0,1823276;1,50E-34;0,571728449
F;0,008873939;0,008149316;-0,357479884;0,015487529;-0,001931451;1,59E-14;3,27E-05;0,534575993;0,183294101;1,36E-32;0,636010823
