;coefHML;coefSML;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorrmrf;r2
PM;0,0011846385212316152;-0,0023935877171747566;0,0052401801399178626;-0,0005661675781322283;0,0021101864094862574;1,6674586590254427e-06;0,39933540612929297;1,0563121786989853e-73;0,24334256189654557
LOW;0,0018889663415817286;-0,001453823205948027;0,011604989701968813;0,000265315358028312;0,0007835916708191396;0,04533045089348574;0,7866023934760182;1,3066831065657043e-145;0,42578139932174475
SPGI;0,0009149618645225823;-0,002832430153522266;0,010547616307556885;0,00044710527336286527;0,06879391221752353;1,4093545446865348e-05;0,6103902126469054;5,5096251460844085e-149;0,4244639185444682
ISRG;-0,0011856876894126892;0,0009232332791292021;0,011252496514079328;0,002297336818277764;0,21238879998466023;0,45268711060021505;0,16652214023904197;9,159725362195002e-58;0,19856418807071785
MU;0,00039426267758725913;0,004052354854058479;0,016959149458045046;-0,0021778413053228926;0,6895971432187078;0,0015350765637071075;0,20659617890326323;1,264818634927689e-108;0,35573970525915266
RTX;0,004488068898379363;0,0002385951166201928;0,01016483157240421;-0,0007667396366501667;3,8133389847198494e-24;0,6705934862591907;0,31150709386923253;1,2613181718146228e-175;0,5190209707535972
GS;0,0055505358291179;-0,0002198174965021514;0,013762505982352418;-0,001273725142868592;1,369276995331528e-25;0,7434416449682016;0,16032364440411467;2,964313715313826e-209;0,5739866854400861
NEE;0,00014107908010243446;-0,0032450698948337012;0,00609569224897769;0,0007688165679143213;0,7547147448812679;3,331740122741307e-08;0,32966832990153205;1,5119721377079552e-72;0,23109702045207414
HON;0,0027802682223857164;-0,002290601422815242;0,01160820424661612;-0,0010007866086634717;9,65144779676041e-09;0,0002436988929882349;0,23407053833450778;5,092921616459245e-183;0,5050867639443348
ETN;0,0035466332502592074;0,0022041964159899194;0,010327741084854411;0,00026583428604633804;4,6636538487980805e-15;0,00014409293702797785;0,7335076332875008;6,055461902642297e-172;0,5140631730542217
AXP;0,006578360675027803;-0,0027523257321224602;0,013794549508081459;-0,0012227526174973205;5,630224569376497e-41;7,5020429451585304e-06;0,13917686082350472;4,322070158178974e-238;0,6222311415515658
LRCX;-0,005626183170624084;0,005683004181130277;0,01622100530500216;0,00010369660010291187;1,7007147836572524e-11;1,331126846496474e-07;0,9428632282368996;8,658082064939004e-134;0,43699979695402413
BKNG;-0,004703282408476532;0,006631730286306959;0,014485292935757002;-0,00043017768037181315;8,300668366102635e-05;1,8005158788423583e-05;0,8361990924157459;1,5968337826940686e-60;0,23808869060313986
PGR;0,0024683385071011424;-0,006259678117113998;0,008148653062106003;0,0013813245659049934;5,397570812840676e-07;3,2546680727085786e-22;0,10669764763138335;5,633297579835914e-103;0,33988896213385267
T;0,002402004489500409;-0,002718669857303381;0,006975634456475696;-0,001863779193329416;5,85074874989911e-07;1,200778545476376e-05;0,02583254604441472;9,8013267070505e-83;0,27805245348442686
ELV;0,0029138823097201185;-0,0024669457151709866;0,007520460629050472;0,001124948882200671;5,692868784059611e-07;0,0010258421327639642;0,26660362837521523;9,73266745522321e-68;0,237083249197092
SYK;0,0006128343272149857;-0,0017494487409537246;0,008995755156655157;0,0007449464877363467;0,19357868248797094;0,004158087443387582;0,3654164514741034;1,3868509415072456e-128;0,3799806077447426
C;0,015339636145259065;-0,0032346555901312693;0,017289825357188468;-0,004948201722106313;1,8547098723917113e-85;0,000567082836159569;9,528019446471428e-05;1,5241765832660106e-180;0,5854422749833161
MS;0,006036533965003699;-0,00326668878569129;0,017949806999941385;-0,0027465994042238026;3,976075229207173e-17;0,00036834535800597004;0,026335754993495452;6,669316376836045e-197;0,5398442574565394
PLD;0,005779817109756802;0,00211242585200077;0,01051887888645559;-0,0006332831909112484;3,407124271326924e-22;0,0053457516928840645;0,5357081000712234;9,386686973201316e-117;0,40945345742194317
BLK;0,0025487528212227197;0,0014730945550497313;0,010882371546319929;0,0010991795510674166;2,149437038703377e-06;0,033554865615286485;0,2399147628002597;8,874368318906365e-142;0,4363782761984042
MDT;0,0006527493848268848;-0,0016735936865206412;0,007902527062414014;-0,000855750956075;0,13545075530283024;0,0031176119427008394;0,262293732367489;5,6848793241857815e-118;0,3548752450069247
TJX;0,002316664220464981;-0,0018308666979760149;0,009827760516105812;0,0011590146338505062;4,5565043051427904e-06;0,0049742582663536246;0,1873818954834977;2,95513736177387e-133;0,40104745486256144
NKE;0,0009691717463667058;-0,0033206568712153975;0,009377210924965702;0,0006978551007980903;0,07910621826309815;3,5728251736413353e-06;0,468843929731941;9,126960393524033e-107;0,325630681623406
UPS;0,001306199427564817;-0,0006537420136624681;0,00800034304966835;-0,0008440292606506223;0,0018346496709092108;0,22713760092467802;0,24816913193925103;6,535347552227535e-129;0,3898111489029168
SCHW;0,003382003497586296;0,00198367544969197;0,013519203619374538;-0,0017072698635855065;1,6336495403843335e-07;0,017061869424754232;0,12815774612707073;1,343695150967188e-149;0,4555693769500737
DE;0,005877871855655647;0,0005163295156211531;0,010658512607296727;7,755948985806867e-05;5,45008136580178e-24;0,48377914332569216;0,9379043222232941;2,039453917896715e-124;0,4208907139153897
CI;0,005365929889032996;-0,003706216060614413;0,009449900332694378;0,0001959596114154507;1,409854459290665e-13;6,878323117529185e-05;0,8757549832363343;1,6753700816544566e-69;0,2602033716270248
BA;0,005867206825521063;0,0004481201477983756;0,012732051733887409;-0,0011795773160943723;7,223207680562945e-18;0,6057558741617282;0,3144121422307191;2,817620679857874e-127;0,41674557222695086
VRTX;-0,007092014803693096;0,0035844679781812144;0,011433335574015796;0,0008124880209499157;7,469943317335432e-12;0,006982365320661037;0,6502006628481383;6,0234341583700616e-52;0,21375544652850387
