;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
PLD;8,937884079890932e-05;-0,001995815027489786;-0,11373511846656689;0,0117736884980829;-0,0001053311387822645;0,8952617132056877;0,07763778670848646;0,9489995642316195;0,3554178190479578;1,8919977453176624e-54;0,5608926803772153
BLK;0,0006436903521046284;-0,0003117433864995539;0,284151053343488;0,01276672641194844;-0,002234917585694778;0,2385439847818723;0,7309529995227546;0,09196316109606825;0,004286471305457937;3,694194452383972e-79;0,7223365091408926
MDT;0,0015472835128882896;0,0007090307232695885;0,011603917910614797;0,00881081238321627;-0,0022366057958533242;0,009052401372098654;0,4694034056613017;0,11851801168144041;0,913475798487434;2,4092446405742584e-44;0,5129488153338937
TJX;0,0034447098268840944;0,0006959651881950075;0,061870498159423415;0,01103159178545448;0,0002336957138842949;2,1015631307765283e-06;0,557011818425005;0,8925013514208391;0,6319598202955057;1,4266729508533213e-46;0,5431583428997385
NKE;-5,5413176592249754e-05;-0,0003143942160428391;-0,25155174851145345;0,010895754860013597;-0,00029227550832825475;0,9408106489786607;0,7998841279193111;0,8717327948496318;0,0635314204558884;6,899282277061659e-43;0,4774446184975706
UPS;2,886406454184027e-05;-0,0015204588405010235;0,1588180928441118;0,009185460765289295;-0,0019804768831213544;0,9703325393254043;0,23895737925187813;0,293209924472937;0,25912792495264914;2,0570374809718253e-31;0,38881962640752277
SCHW;0,007825628605329177;0,0030265307313091083;0,3174596753036343;0,01022252969762247;-0,0019538375046740204;2,865133022983945e-16;0,04489962245545302;0,37379925498189115;0,05357578947644803;3,1304836997573554e-29;0,4829058279353954
DE;0,005605568502923208;9,480628814218829e-05;0,15072213185800803;0,011468654080151571;8,169126016287893e-05;9,153524880209046e-12;0,9425063374100378;0,9660406271457707;0,2933406633787354;1,8541219200064226e-42;0,5348131873049191
CI;0,0033342995886642634;-0,0028282837644589866;0,16799450957618084;0,009075550928712903;-0,001425549230210654;0,0001137494168360998;0,046848932251342255;0,49125190511990713;0,2777108841978368;1,3044982372798062e-26;0,35963231864915024
BA;0,010087673385251895;0,002653835275374483;-0,28315317273445956;0,018629482228446365;-0,0035840018161263617;8,887912319495278e-15;0,19755112365361435;0,23308690538851504;0,20722125062015515;8,591819096644107e-45;0,5560471752942153
VRTX;-0,0036979325821324053;-0,0031510817413431093;0,2389609331766274;0,006196307348444733;0,0006701534921287513;1,1172634097059962e-05;0,022670271851938772;0,7388089468497043;0,11210440933988972;4,071346692725605e-15;0,24671664359389656
BMY;8,456580221573133e-05;-0,0014198513003308908;0,1071684705152981;0,005662048990158945;-0,0024055600357577446;0,9021596433949658;0,2147778236289321;0,1500684956462954;0,3900727024702474;1,142490025819674e-17;0,23425077766754754
CB;0,00623051906310408;-0,0027451695675631683;0,09627995717818733;0,008681824373838617;-0,0007517014128216331;3,1734753690434365e-24;0,0035567030430882552;0,5819560358873597;0,3453268884264118;2,2544282010161603e-46;0,5938425047613423
ADP;0,0015339084725213995;-0,0029225347856656663;0,005045344812436181;0,010264451783139427;-0,00030294633331189697;0,007368431805475403;0,0021635187619119104;0,8262856315949916;0,9609657229825549;2,2996132004790102e-57;0,5865014042084755
MMC;0,0008867978235073697;-0,003261021569747534;-0,05936459004864131;0,009432809083574027;0,0004694102215042654;0,06226754753824253;4,477980713579048e-05;0,6833002919970527;0,48978984685370075;4,837831081118415e-65;0,6255790510380983
BSX;0,0008756543262020233;-0,0004311225568757657;-0,11752931948952847;0,010455428966099627;0,0003756719969911799;0,15774040357416774;0,675087484659513;0,8023827250175939;0,2948873805037166;1,4322587094229173e-52;0,5553182148471332
REGN;-0,00426171642156695;-0,001826940125230209;-0,2541304328330837;0,006761476620521987;0,001308664018451961;7,126264198773117e-06;0,2395026443858171;0,563447961365162;0,1336602649291869;2,4044991169056204e-14;0,21828566133139782
