;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
QCOM;-0,001380537035286049;-0,00021696359750601144;-0,24660071735078146;0,012212779363250229;7,514436418585766e-05;0,14367254817714675;0,8966336436521976;0,9778367006015629;0,2639582841263518;8,432644754871694e-30;0,4941646144172914
ABT;-0,0023146011342028384;-0,0037106158246635;0,16001245071365777;0,007759696197869626;-0,0013437476582537358;0,0018712793758477015;0,00484423371793872;0,5249311764812389;0,3531393933422692;4,119912559352534e-22;0,4055627799554822
CAT;0,006340092903995047;0,003516423530450734;0,1758966271815632;0,008296091795769771;0,0003693575747457434;2,455011576984949e-13;0,01505013913169665;0,8738178903204008;0,35384998320409156;3,635887137692656e-21;0,518650283265643
INTU;-0,004879694373998324;-0,004058766347923391;0,010186350970715788;0,013898070718861006;0,0008047163378077311;2,0067010249569814e-11;0,001027692852898266;0,6838976540388118;0,9495605298501656;1,5180280685122154e-52;0,7146578812697726
AMAT;-0,0017730446111265665;0,0015950209990789285;0,03030197038033779;0,01577593393916566;0,0008055696058986419;0,07833472094179253;0,37052669140261474;0,7798744522051426;0,8973414383827827;1,197205776842835e-38;0,6060315202299668
IBM;0,00362720804551778;-0,000333787118842259;-0,07130861527429652;0,007911740417868485;-0,0008883708897561332;3,3360971370108133e-07;0,7844865640347664;0,6532048071930793;0,6580601406228457;4,329466359635277e-25;0,47791584937426124
VZ;0,002076730507438051;-0,0024046364215605754;0,2373655118322305;0,0036220190455395155;-0,004270049303954595;0,0013846537547737591;0,03548016141386817;0,021280238672215155;0,11491801421638989;2,061097693830237e-08;0,21084415991079153
GE;0,007693379773721476;0,004305399454030915;0,27098546655962324;0,010273379485257843;-0,0008145903468936941;8,666974389129515e-14;0,01224946997156906;0,7681127265891093;0,2294983618757059;1,6016611869421264e-22;0,5381150196580249
CMCSA;0,0025689399804017655;-0,00045466878556511006;0,34966481949863104;0,007424706440569243;-0,0032526357440982824;0,0004427448159687431;0,7218966839622013;0,11698124756784797;0,03907427504203304;2,3199662411226613e-21;0,43394936504395587
NOW;-0,007151276444268959;0,0023811159131086643;-0,3243257026006185;0,011773299718262254;0,002580643932051172;2,0529612002336608e-14;0,12337466907413076;0,3017666178201894;0,11188989061868641;1,138516005210815e-31;0,5918514063403344
INTC;0,00011112597812783397;-0,0016590408003431827;0,12670231940809;0,010174781117118194;-0,0038264951281237677;0,9142712272653912;0,36529639615860876;0,19779280027495655;0,6001405210277964;5,751574602993493e-20;0,36307027122854274
DHR;-0,0030897718078687557;-0,001848229873698973;-0,016807075288580112;0,008929067952224909;0,000400897293326898;1,663715661403134e-05;0,13834620026867955;0,8422664617714151;0,918454051713232;4,8975243107661587e-29;0,5002096627199142
COP;0,011496065858018574;0,0015378502983951056;-0,12164031037693662;0,010015765832008078;0,00017200505737799271;3,546716899936994e-19;0,4552015910730395;0,9588442186583004;0,6543470520807169;2,6667510439928806e-16;0,488678774371895
UBER;-0,0024409167235130307;0,01222452986918235;-0,36124239474642494;0,014166209308758471;0,0010812019566473852;0,08600896430792071;2,217223020408035e-06;0,7904859484014759;0,27667170120241374;2,093165324535349e-20;0,46429443132307213
TXN;-0,0003464285179808475;0,0015610484644347556;-0,054253762841857005;0,0087139520355021;-0,0007503656846231082;0,5696218592641014;0,14941431429828123;0,668046202505385;0,7035661437658007;4,130823906314336e-34;0,562265363945728
PFE;-0,00020508367502255435;-0,0021227580128674738;0,1326253625606038;0,005470554635645993;-0,0031791354731079448;0,8084092079860262;0,15800509830046253;0,1915844121016325;0,503124248494355;2,1595718273489702e-10;0,19629123414170835
