Date;Mkt-RF;SMB;HML;RF;rendimientos microsoft;% Fundflows
12/03/2018;-0,09;0,47;-0,08;0,50%;0,24%;1,11%
13/03/2018;-0,67;0,08;0,03;0,50%;-2,47%;0,98%
14/03/2018;-0,53;0,23;-0,57;0,50%;-0,60%;0,62%
15/03/2018;-0,18;-0,39;0,32;0,50%;0,35%;0,12%
16/03/2018;0,25;0,47;0,18;0,50%;0,45%;-1,76%
19/03/2018;-1,38;0,35;0,41;0,50%;-1,82%;0,31%
20/03/2018;0,15;-0,08;-0,36;0,50%;0,26%;-1,02%
21/03/2018;-0,06;0,75;0,45;0,50%;-0,70%;-0,82%
22/03/2018;-2,54;0,51;-0,49;0,50%;-2,95%;0,40%
23/03/2018;-2,09;0,21;-0,23;0,50%;-2,95%;-2,63%
26/03/2018;2,67;-0,68;0,03;0,50%;7,30%;-2,55%
27/03/2018;-1,87;-0,21;0,37;0,50%;-4,71%;0,13%
28/03/2018;-0,35;0,14;0,65;0,50%;-0,09%;0,93%
29/03/2018;1,41;-0,32;-0,22;0,50%;2,08%;-0,44%
02/04/2018;-2,29;-0,15;0,36;0,70%;-3,06%;-0,86%
03/04/2018;1,24;-0,04;0,19;0,70%;1,34%;-0,64%
04/04/2018;1,17;0,33;-0,32;0,70%;2,88%;-0,50%
05/04/2018;0,75;0,03;0,46;0,70%;0,05%;-0,09%
06/04/2018;-2,19;0,39;-0,06;0,70%;-2,36%;0,41%
09/04/2018;0,3;-0,15;-0,53;0,70%;0,60%;-0,65%
10/04/2018;1,77;0,4;-0,12;0,70%;2,30%;1,50%
11/04/2018;-0,49;0,92;-0,31;0,70%;-1,10%;-0,08%
12/04/2018;0,84;-0,23;0,18;0,70%;1,86%;0,03%
13/04/2018;-0,37;0,03;-0,24;0,70%;-0,54%;-0,01%
16/04/2018;0,82;0,08;-0,02;0,70%;1,16%;0,15%
17/04/2018;1,09;0,16;-1,18;0,70%;2,00%;-0,05%
18/04/2018;0,13;0,21;0,02;0,70%;0,38%;0,01%
19/04/2018;-0,49;-0,47;1,08;0,70%;-0,34%;0,30%
20/04/2018;-0,81;0,06;0,58;0,70%;-1,16%;-0,17%
23/04/2018;-0,05;-0,07;0,2;0,70%;0,37%;0,43%
24/04/2018;-1,3;0,54;1,02;0,70%;-2,37%;1,01%
25/04/2018;0,1;-0,33;0,08;0,70%;-0,87%;-0,86%
26/04/2018;0,96;-0,39;-0,85;0,70%;2,09%;-0,37%
27/04/2018;0,01;-0,26;0,03;0,70%;1,64%;0,53%
30/04/2018;-0,8;0,02;-0,1;0,70%;-2,43%;0,33%
01/05/2018;0,24;0,22;-0,54;0,60%;1,57%;-0,10%
02/05/2018;-0,63;1,28;-0,36;0,60%;-1,58%;0,24%
03/05/2018;-0,25;-0,52;-0,15;0,60%;0,60%;-0,49%
04/05/2018;1,3;0,02;-0,2;0,60%;1,15%;-0,48%
07/05/2018;0,42;0,41;-0,34;0,60%;1,11%;0,75%
08/05/2018;0,07;0,49;0,24;0,60%;-0,43%;0,07%
09/05/2018;0,89;-0,22;0,26;0,60%;1,17%;0,69%
10/05/2018;0,85;-0,43;-0,04;0,60%;1,00%;0,09%
11/05/2018;0,19;0,13;-0,38;0,60%;-0,22%;0,81%
14/05/2018;0,05;-0,36;0,1;0,60%;0,34%;0,17%
15/05/2018;-0,55;0,67;0,41;0,60%;-0,73%;0,12%
16/05/2018;0,5;0,71;-0,25;0,60%;-0,18%;0,60%
17/05/2018;0,02;0,9;0,3;0,60%;-1,00%;0,33%
18/05/2018;-0,23;0,57;-0,61;0,60%;0,19%;-0,31%
21/05/2018;0,72;-0,19;0,44;0,60%;1,28%;-0,28%
22/05/2018;-0,42;-0,76;0,61;0,60%;-0,10%;0,28%
23/05/2018;0,29;0,05;-0,7;0,60%;1,18%;0,13%
24/05/2018;-0,16;0,37;-0,35;0,60%;-0,36%;0,50%
25/05/2018;-0,21;0,25;-0,4;0,60%;0,05%;0,44%
29/05/2018;-1,04;1,33;-1,02;0,60%;-0,36%;-0,47%
30/05/2018;1,31;0,05;0,37;0,60%;0,96%;-0,34%
31/05/2018;-0,7;0,07;-0,43;0,60%;-0,11%;-0,04%
01/06/2018;1,06;-0,23;-0,11;0,60%;1,95%;-0,22%
04/06/2018;0,48;0,17;-0,45;0,60%;0,87%;-0,46%
05/06/2018;0,17;0,82;-0,44;0,60%;0,51%;1,07%
06/06/2018;0,86;-0,33;0,2;0,60%;0,29%;-0,59%
07/06/2018;-0,14;-0,3;0,93;0,60%;-1,58%;-0,57%
08/06/2018;0,31;0,08;-0,4;0,60%;0,74%;0,15%
11/06/2018;0,12;0,18;-0,17;0,60%;-0,57%;-0,30%
12/06/2018;0,23;0,23;-0,63;0,60%;0,26%;-0,76%
13/06/2018;-0,33;0,08;-0,2;0,60%;-0,46%;0,13%
14/06/2018;0,27;0,32;-1;0,60%;0,56%;0,24%
15/06/2018;-0,08;0,05;-0,25;0,60%;-1,28%;-0,72%
18/06/2018;-0,09;0,72;0,08;0,60%;0,73%;0,49%
19/06/2018;-0,38;0,57;-0,14;0,60%;0,00%;0,70%
20/06/2018;0,23;0,73;-0,51;0,60%;1,00%;0,15%
21/06/2018;-0,73;-0,63;0,33;0,60%;-0,72%;-0,05%
22/06/2018;0,11;0;0,46;0,60%;-0,72%;-0,48%
25/06/2018;-1,48;-0,54;0,57;0,60%;-2,03%;0,00%
26/06/2018;0,27;0,63;-0,24;0,60%;0,70%;-0,10%
27/06/2018;-1,02;-1;0,36;0,60%;-1,57%;-0,98%
28/06/2018;0,58;-0,18;-0,51;0,60%;1,11%;0,00%
29/06/2018;0,07;-0,2;-0,24;0,60%;-0,02%;0,03%
02/07/2018;0,36;0,44;-0,25;0,80%;1,41%;-0,60%
03/07/2018;-0,44;0,81;-0,02;0,80%;-0,97%;0,10%
05/07/2018;0,87;0,44;-0,43;0,80%;0,71%;0,37%
06/07/2018;0,88;0,05;-0,3;0,80%;1,39%;-0,39%
09/07/2018;0,93;-0,41;0,85;0,80%;0,68%;-0,10%
10/07/2018;0,21;-0,78;-0,17;0,80%;0,27%;0,38%
11/07/2018;-0,69;-0,02;-0,45;0,80%;-0,14%;-0,50%
12/07/2018;0,86;-0,35;-1,14;0,80%;2,14%;0,88%
13/07/2018;0,08;-0,12;-0,3;0,80%;1,18%;-0,47%
16/07/2018;-0,16;-0,78;0,98;0,80%;-0,49%;-0,48%
17/07/2018;0,48;0,26;-0,76;0,80%;0,99%;0,27%
18/07/2018;0,27;-0,27;0,67;0,80%;-0,79%;0,01%
19/07/2018;-0,34;0,96;-0,36;0,80%;-0,69%;-0,11%
20/07/2018;-0,1;-0,19;0,12;0,80%;1,78%;0,09%
23/07/2018;0,15;-0,3;0,55;0,80%;1,59%;-0,59%
24/07/2018;0,22;-1,36;0,39;0,80%;-0,29%;0,35%
25/07/2018;0,83;-0,43;-1,06;0,80%;2,90%;0,87%
26/07/2018;-0,2;0,64;0,57;0,80%;-1,10%;0,36%
27/07/2018;-0,82;-1,38;1,06;0,80%;-1,79%;-0,21%
30/07/2018;-0,7;-0,21;1,57;0,80%;-2,17%;0,31%
31/07/2018;0,51;0,85;-1,11;0,80%;0,67%;0,24%
01/08/2018;-0,13;0,04;-0,19;0,70%;0,19%;0,65%
02/08/2018;0,67;0,31;-0,67;0,70%;1,21%;-0,99%
03/08/2018;0,31;-1,07;0,52;0,70%;0,44%;-1,16%
06/08/2018;0,46;0,25;-0,34;0,70%;0,08%;-0,12%
07/08/2018;0,29;0,03;-0,17;0,70%;0,69%;-0,02%
08/08/2018;-0,04;-0,12;0,27;0,70%;0,56%;0,45%
09/08/2018;-0,05;0,37;-0,35;0,70%;0,16%;1,63%
10/08/2018;-0,6;0,39;-0,21;0,70%;-0,61%;0,40%
13/08/2018;-0,46;-0,15;-0,29;0,70%;-0,73%;-0,38%
14/08/2018;0,69;0,31;0,21;0,70%;1,24%;-0,30%
15/08/2018;-0,91;-0,54;-0,13;0,70%;-1,75%;-0,03%
16/08/2018;0,86;-0,06;0,25;0,70%;-0,02%;0,09%
17/08/2018;0,3;0,09;0,01;0,70%;-0,06%;0,64%
20/08/2018;0,25;0,12;0,14;0,70%;-0,66%;-0,39%
21/08/2018;0,33;0,91;0,12;0,70%;-0,84%;0,28%
22/08/2018;0,05;0,36;-0,35;0,70%;1,01%;0,16%
23/08/2018;-0,19;-0,06;-0,32;0,70%;0,47%;-0,46%
24/08/2018;0,62;-0,02;-0,58;0,70%;0,78%;-0,03%
27/08/2018;0,74;-0,67;-0,16;0,70%;1,10%;-0,31%
28/08/2018;-0,01;-0,11;-0,24;0,70%;0,60%;0,74%
29/08/2018;0,56;-0,04;-0,58;0,70%;1,58%;0,50%
30/08/2018;-0,41;0,29;-0,42;0,70%;-0,06%;0,14%
31/08/2018;0,08;0,5;-0,38;0,70%;0,34%;-0,39%
04/09/2018;-0,11;-0,37;0,01;0,80%;-0,55%;-0,30%
05/09/2018;-0,41;-0,18;0,66;0,80%;-2,93%;-0,09%
06/09/2018;-0,44;-0,35;-0,24;0,80%;0,23%;0,89%
07/09/2018;-0,18;0,1;-0,21;0,80%;-0,49%;-0,34%
10/09/2018;0,23;0,12;-0,37;0,80%;1,08%;-0,16%
11/09/2018;0,37;-0,29;-0,24;0,80%;1,69%;0,37%
12/09/2018;0,03;-0,06;-0,23;0,80%;0,42%;-0,29%
13/09/2018;0,45;-0,44;-0,4;0,80%;1,07%;-0,02%
14/09/2018;0,12;0,26;0,25;0,80%;0,41%;-0,21%
17/09/2018;-0,71;-0,46;0,83;0,80%;-1,09%;0,38%
18/09/2018;0,57;0,05;-0,48;0,80%;0,95%;1,89%
19/09/2018;0,06;-0,66;1,28;0,80%;-1,34%;-0,28%
20/09/2018;0,77;0,31;-0,22;0,80%;1,66%;1,95%
21/09/2018;-0,13;-0,42;0,3;0,80%;0,61%;0,92%
24/09/2018;-0,31;0,06;-0,9;0,80%;0,36%;-1,39%
25/09/2018;-0,05;0,27;-0,38;0,80%;-0,19%;-0,22%
26/09/2018;-0,4;-0,38;-0,63;0,80%;-0,41%;-0,24%
27/09/2018;0,27;-0,26;-0,55;0,80%;0,38%;0,38%
28/09/2018;-0,03;0,4;-0,2;0,80%;-0,04%;-0,03%
01/10/2018;0,16;-1,62;0,34;0,80%;1,08%;-0,28%
02/10/2018;-0,21;-0,98;0,59;0,80%;-0,40%;0,37%
03/10/2018;0,2;0,84;0,51;0,80%;0,02%;0,32%
04/10/2018;-0,93;-1,06;1,57;0,80%;-2,09%;-0,03%
05/10/2018;-0,64;-0,43;0,38;0,80%;-0,59%;1,15%
08/10/2018;-0,17;-0,4;1,22;0,80%;-1,15%;-0,54%
09/10/2018;-0,18;-0,29;0,28;0,80%;1,26%;0,53%
10/10/2018;-3,33;0,29;1,1;0,80%;-5,59%;0,27%
11/10/2018;-1,96;0,45;-0,92;0,80%;-0,24%;0,84%
12/10/2018;1,38;-0,88;-1,74;0,80%;3,40%;-2,14%
15/10/2018;-0,48;0,92;0,51;0,80%;-1,81%;-0,73%
16/10/2018;2,24;0,68;-1,43;0,80%;3,11%;-1,11%
17/10/2018;-0,08;-0,68;0,25;0,80%;-0,26%;-0,55%
18/10/2018;-1,54;-0,54;0,42;0,80%;-2,02%;1,10%
19/10/2018;-0,25;-1,33;0,71;0,80%;0,15%;0,38%
22/10/2018;-0,38;0,48;-1,25;0,80%;0,89%;-0,24%
23/10/2018;-0,62;-0,1;-0,41;0,80%;-1,41%;0,26%
24/10/2018;-3,33;-0,93;0,77;0,80%;-5,50%;-0,20%
25/10/2018;1,93;0,42;-0,58;0,80%;5,68%;1,23%
26/10/2018;-1,65;0,58;0,35;0,80%;-1,25%;-0,56%
29/10/2018;-0,77;-0,33;1,62;0,80%;-2,95%;-1,10%
30/10/2018;1,66;0,42;0,08;0,80%;-0,12%;1,47%
31/10/2018;1,22;-0,66;-0,74;0,80%;2,93%;0,85%
01/11/2018;1,29;1,35;-1,14;0,80%;-0,84%;-0,52%
02/11/2018;-0,53;0,79;0,67;0,80%;0,23%;-0,60%
05/11/2018;0,4;-1,01;1,55;0,80%;1,26%;0,23%
06/11/2018;0,58;-0,16;0,03;0,80%;0,20%;0,04%
07/11/2018;2,11;-0,33;-1,06;0,80%;3,86%;0,35%
08/11/2018;-0,28;-0,25;0,26;0,80%;-0,19%;0,27%
09/11/2018;-1,04;-0,86;0,41;0,80%;-1,97%;-0,03%
12/11/2018;-2,06;0,01;0,85;0,80%;-2,50%;-0,42%
13/11/2018;-0,13;-0,11;0,16;0,80%;0,07%;-0,03%
14/11/2018;-0,77;0,03;-0,29;0,80%;-1,86%;0,23%
15/11/2018;1,18;0,36;-0,41;0,80%;2,18%;0,42%
16/11/2018;0,15;0,02;-0,05;0,80%;0,94%;0,22%
19/11/2018;-1,88;-0,73;2,3;0,80%;-3,45%;-0,47%
20/11/2018;-1,85;0,14;-0,53;0,80%;-2,82%;0,34%
21/11/2018;0,51;0,98;-0,34;0,80%;1,37%;0,79%
23/11/2018;-0,55;0,83;-0,59;0,80%;-0,04%;-0,39%
26/11/2018;1,62;-0,66;-0,2;0,80%;3,25%;-0,39%
27/11/2018;0,11;-1,09;0,26;0,80%;0,63%;-0,20%
28/11/2018;2,42;0,45;-1,16;0,80%;3,65%;0,55%
29/11/2018;-0,22;-0,1;-0,1;0,80%;-0,84%;1,28%
30/11/2018;0,78;-0,33;-0,43;0,80%;0,63%;0,72%
03/12/2018;1,13;-0,05;-0,8;1,10%;1,08%;-1,07%
04/12/2018;-3,45;-0,97;-0,21;1,10%;-3,24%;0,18%
06/12/2018;-0,16;0,14;-1,05;1,10%;0,62%;-1,07%
07/12/2018;-2,36;0,2;1,32;1,10%;-4,08%;-0,95%
10/12/2018;0,1;-0,11;-1,62;1,10%;2,61%;0,15%
11/12/2018;-0,08;-0,05;-0,4;1,10%;0,93%;-0,16%
12/12/2018;0,68;0,57;-0,19;1,10%;0,45%;0,30%
13/12/2018;-0,26;-1,51;-0,19;1,10%;0,34%;0,74%
14/12/2018;-1,89;-0,07;0,5;1,10%;-3,18%;-0,51%
17/12/2018;-2,13;-0,26;1,09;1,10%;-3,01%;0,50%
18/12/2018;-0,03;0,03;-0,6;1,10%;1,04%;0,97%
19/12/2018;-1,58;-0,62;0,04;1,10%;-0,27%;0,07%
20/12/2018;-1,62;-0,29;0,98;1,10%;-2,13%;-0,43%
21/12/2018;-2,17;-0,55;0,77;1,10%;-3,29%;0,03%
24/12/2018;-2,55;1;-0,48;1,10%;-4,26%;2,29%
26/12/2018;5,06;-0,06;-1,02;1,10%;6,61%;0,82%
27/12/2018;0,78;-0,66;-0,12;1,10%;0,62%;-1,27%
28/12/2018;-0,03;0,77;0,26;1,10%;-0,78%;-0,22%
31/12/2018;0,9;-0,1;-0,46;1,10%;1,17%;-0,65%
02/01/2019;0,23;0,59;1,11;1,00%;-0,44%;-0,97%
03/01/2019;-2,45;0,36;1,2;1,00%;-3,75%;-0,32%
04/01/2019;3,55;0,41;-0,7;1,00%;4,55%;-0,27%
07/01/2019;0,94;1;-0,75;1,00%;0,13%;0,68%
08/01/2019;1,01;0,53;-0,63;1,00%;0,72%;-0,46%
09/01/2019;0,56;0,46;0,1;1,00%;1,42%;0,17%
10/01/2019;0,42;0,03;-0,46;1,00%;-0,65%;-0,61%
11/01/2019;-0,01;0,12;0,22;1,00%;-0,78%;0,70%
14/01/2019;-0,6;-0,59;0,94;1,00%;-0,73%;-0,42%
15/01/2019;1,06;0;-0,88;1,00%;2,86%;-0,31%
16/01/2019;0,28;0,04;0,92;1,00%;0,35%;-0,18%
17/01/2019;0,75;0,11;-0,24;1,00%;0,70%;-0,11%
18/01/2019;1,29;-0,36;0,12;1,00%;1,49%;-1,06%
22/01/2019;-1,53;-0,4;0,32;1,00%;-1,90%;0,37%
23/01/2019;0,15;-0,39;-0,13;1,00%;0,97%;0,37%
24/01/2019;0,23;0,44;-0,01;1,00%;-0,48%;0,26%
25/01/2019;0,9;0,46;-0,35;1,00%;0,91%;-0,05%
28/01/2019;-0,8;-0,16;0,63;1,00%;-1,97%;-2,96%
29/01/2019;-0,19;-0,01;0,17;1,00%;-2,06%;-0,75%
30/01/2019;1,51;-0,15;-0,94;1,00%;3,29%;0,69%
31/01/2019;0,92;0,12;-1,08;1,00%;-1,85%;-0,27%
01/02/2019;0,14;-0,14;0,43;1,00%;-1,59%;0,33%
04/02/2019;0,72;0,49;-0,47;1,00%;2,84%;-0,19%
05/02/2019;0,43;-0,08;-0,6;1,00%;1,39%;0,30%
06/02/2019;-0,22;-0,02;0,07;1,00%;-1,12%;-0,05%
07/02/2019;-0,93;-0,14;0,4;1,00%;-0,72%;-0,21%
08/02/2019;0,09;0,05;-0,69;1,00%;0,38%;-0,16%
11/02/2019;0,14;0,66;0,23;1,00%;-0,40%;-0,03%
12/02/2019;1,36;0,02;-0,16;1,00%;1,55%;0,24%
13/02/2019;0,28;0,07;0,07;1,00%;-0,08%;0,47%
14/02/2019;-0,21;0,52;-0,58;1,00%;0,08%;0,22%
15/02/2019;1,13;0,25;0,47;1,00%;1,23%;-0,76%
19/02/2019;0,19;0,29;0,3;1,00%;-0,05%;-0,07%
20/02/2019;0,19;0,21;0,55;1,00%;-0,95%;0,65%
21/02/2019;-0,37;-0,07;-0,22;1,00%;2,09%;-0,35%
22/02/2019;0,65;0,55;-1,47;1,00%;1,42%;0,19%
25/02/2019;0,15;-0,26;-0,18;1,00%;0,56%;0,08%
26/02/2019;-0,16;-0,64;-0,33;1,00%;0,69%;1,00%
27/02/2019;0,09;0,2;-0,12;1,00%;-0,17%;-0,38%
28/02/2019;-0,31;0,02;-0,24;1,00%;-0,13%;-0,23%
01/03/2019;0,72;0,29;-0,4;0,90%;0,45%;0,30%
04/03/2019;-0,52;-0,4;0,37;0,90%;-0,24%;0,00%
05/03/2019;-0,17;-0,31;-0,23;0,90%;-0,50%;0,49%
06/03/2019;-0,84;-1,27;0,05;0,90%;0,05%;-0,54%
07/03/2019;-0,82;-0,07;-0,33;0,90%;-1,22%;-0,77%
08/03/2019;-0,22;0,04;-0,16;0,90%;0,11%;-0,92%
11/03/2019;1,49;0,36;-0,53;0,90%;2,08%;-0,50%
12/03/2019;0,25;-0,28;-0,09;0,90%;0,70%;1,32%
13/03/2019;0,68;-0,31;0,07;0,90%;0,77%;1,80%
14/03/2019;-0,1;-0,4;0,3;0,90%;0,08%;0,71%
15/03/2019;0,48;-0,26;-0,25;0,90%;1,15%;0,32%
18/03/2019;0,46;0,16;0,44;0,90%;1,42%;-0,48%
19/03/2019;-0,09;-0,39;-0,93;0,90%;0,07%;1,31%
20/03/2019;-0,39;0,02;-1,05;0,90%;-0,11%;0,48%
21/03/2019;1,11;0,3;-1,23;0,90%;2,27%;-0,04%
22/03/2019;-2,17;-1,52;-0,07;0,90%;-2,67%;0,16%
25/03/2019;-0,05;0,66;-0,25;0,90%;0,52%;-0,59%
26/03/2019;0,76;0,17;0,46;0,90%;0,21%;0,02%
27/03/2019;-0,5;0,1;0,5;0,90%;-0,97%;-0,38%
28/03/2019;0,4;0,34;0,02;0,90%;0,14%;0,44%
29/03/2019;0,66;-0,22;-0,92;0,90%;0,86%;0,10%
01/04/2019;1,19;-0,3;0,99;1,00%;0,91%;0,73%
02/04/2019;-0,05;-0,13;-0,44;1,00%;0,14%;-0,39%
03/04/2019;0,27;0,22;-0,4;1,00%;0,65%;0,45%
04/04/2019;0,19;0,21;0,93;1,00%;-0,51%;0,55%
05/04/2019;0,52;0,53;-0,08;1,00%;0,44%;0,22%
08/04/2019;0,08;-0,29;0,1;1,00%;0,03%;-0,05%
09/04/2019;-0,65;-0,56;-0,14;1,00%;-0,54%;-0,03%
10/04/2019;0,48;0,97;-0,1;1,00%;0,76%;0,69%
11/04/2019;0;-0,31;0,41;1,00%;0,12%;0,61%
12/04/2019;0,65;-0,5;0,65;1,00%;0,51%;0,73%
15/04/2019;-0,09;-0,22;-0,53;1,00%;0,08%;0,16%
16/04/2019;0,13;0,12;0,7;1,00%;-0,23%;-0,19%
17/04/2019;-0,32;-0,7;0,83;1,00%;0,83%;0,80%
18/04/2019;0,11;-0,25;-0,51;1,00%;1,31%;-0,51%
22/04/2019;0,11;-0,46;-0,56;1,00%;0,32%;-0,54%
23/04/2019;0,97;0,72;-0,48;1,00%;1,35%;0,02%
24/04/2019;-0,23;0,27;-0,07;1,00%;-0,34%;-0,23%
25/04/2019;-0,14;-0,75;-0,19;1,00%;3,26%;-0,38%
26/04/2019;0,53;0,43;0,07;1,00%;0,57%;-0,30%
29/04/2019;0,18;0,08;0,65;1,00%;-0,09%;-0,03%
30/04/2019;-0,04;-0,7;0,28;1,00%;0,64%;-0,03%
01/05/2019;-0,83;-0,1;-0,02;0,90%;-2,11%;1,20%
02/05/2019;-0,16;0,45;-0,27;0,90%;-1,32%;0,03%
03/05/2019;1,13;0,94;-0,27;0,90%;2,11%;-1,18%
06/05/2019;-0,39;0,6;-0,42;0,90%;-0,58%;-0,21%
07/05/2019;-1,69;-0,28;0,5;0,90%;-2,07%;0,01%
08/05/2019;-0,22;-0,15;-0,32;0,90%;-0,01%;-0,73%
09/05/2019;-0,28;0,08;0,12;0,90%;-0,01%;-0,63%
10/05/2019;0,35;-0,37;0,08;0,90%;1,29%;-0,71%
13/05/2019;-2,67;-0,73;0,28;0,90%;-3,02%;-0,20%
14/05/2019;0,93;0,4;-0,02;0,90%;1,11%;0,25%
15/05/2019;0,58;0,05;-0,96;0,90%;1,03%;-0,55%
16/05/2019;0,91;-0,4;-0,32;0,90%;2,28%;-0,23%
17/05/2019;-0,73;-0,8;0,29;0,90%;-0,67%;0,03%
20/05/2019;-0,65;-0,23;0,72;0,90%;-1,46%;0,62%
21/05/2019;0,9;0,43;-0,35;0,90%;0,54%;0,56%
22/05/2019;-0,4;-0,52;-0,6;0,90%;0,61%;-0,03%
23/05/2019;-1,37;-0,69;-0,28;0,90%;-1,17%;0,27%
24/05/2019;0,23;0,5;0,31;0,90%;0,05%;-0,48%
28/05/2019;-0,78;0,29;-0,63;0,90%;-0,06%;-0,09%
29/05/2019;-0,71;-0,29;0,41;0,90%;-0,97%;-0,16%
30/05/2019;0,14;-0,28;-0,76;0,90%;0,63%;-0,67%
31/05/2019;-1,37;-0,22;-0,1;0,90%;-1,64%;-0,26%
03/06/2019;-0,4;0,35;1,66;0,90%;-3,15%;0,06%
04/06/2019;2,33;0,42;-0,03;0,90%;2,73%;-0,12%
05/06/2019;0,7;-0,98;-0,97;0,90%;2,15%;0,19%
06/06/2019;0,55;-1,04;0,01;0,90%;1,57%;0,34%
07/06/2019;1,04;0,05;-1,2;0,90%;2,76%;0,86%
10/06/2019;0,53;-0,04;0,08;0,90%;0,91%;0,49%
11/06/2019;-0,12;-0,25;0,55;0,90%;-0,38%;0,36%
12/06/2019;-0,2;0,41;-0,99;0,90%;-0,46%;-0,66%
13/06/2019;0,52;0,67;-0,04;0,90%;0,63%;0,26%
14/06/2019;-0,27;-0,79;0,32;0,90%;0,10%;0,09%
17/06/2019;0,15;0,63;-1,12;0,90%;0,30%;0,58%
18/06/2019;1,04;0,16;0,33;0,90%;1,72%;-0,10%
19/06/2019;0,32;0,11;-0,6;0,90%;0,39%;0,21%
20/06/2019;0,89;-0,36;-0,23;0,90%;0,92%;0,02%
21/06/2019;-0,21;-0,47;-0,03;0,90%;0,02%;-1,10%
24/06/2019;-0,34;-0,9;0,08;0,90%;0,59%;-0,05%
25/06/2019;-0,98;0,34;0,71;0,90%;-3,21%;0,88%
26/06/2019;-0,06;-0,05;0,25;0,90%;0,37%;0,72%
27/06/2019;0,6;1,42;-0,09;0,90%;0,16%;-2,28%
28/06/2019;0,68;0,64;0,61;0,90%;-0,14%;-0,30%
01/07/2019;0,75;-0,54;-0,13;0,90%;1,28%;0,00%
02/07/2019;0,14;-0,79;-0,81;0,90%;0,66%;0,07%
03/07/2019;0,78;-0,04;-0,33;0,90%;0,64%;0,17%
05/07/2019;-0,1;0,16;0,91;0,90%;-0,29%;0,10%
08/07/2019;-0,58;-0,45;0,05;0,90%;-0,07%;0,63%
09/07/2019;0,18;-0,15;-0,43;0,90%;-0,37%;0,73%
10/07/2019;0,4;-0,15;-0,36;0,90%;1,01%;-0,01%
11/07/2019;0,19;-0,79;0,04;0,90%;0,40%;0,16%
