Column1;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
CEG;-0,001764838;-0,001459857;0,261255204;-0,00089421;-0,010726482;0,204097765;0,457089466;2,71E-16;0,290134958;0,433448345;0,008064276
FDS;0,001270151;-0,001422718;0,123543448;0,004566516;-0,006054277;0,020799013;0,109330477;5,89E-18;0,297254925;4,25E-21;0,101118965
LLY;0,000588213;-0,001951755;0,133610643;0,003646984;-0,005574633;0,323484976;0,043123563;1,75E-13;0,299093754;2,31E-12;0,056118814
TXN;0,000417486;-0,000560587;0,125311828;0,005098831;-0,00626745;0,45678673;0,536932635;2,37E-18;0,301104543;1,23E-24;0,116551283
AMCR;0,002009223;0,000738791;-0,124092042;0,003789455;-0,006470366;0,00031679;0,411603881;1,02E-19;0,301455548;7,06E-15;0,08563335
WAB;0,00497734;0,001961993;0,135713529;0,004755373;-0,006173405;1,05E-15;0,046842362;1,80E-15;0,302477986;7,58E-19;0,157045626
EQIX;-0,000821997;-0,003013628;0,12577709;0,004123644;-0,006047867;0,147071624;0,00105039;6,09E-17;0,304144885;1,13E-16;0,080650724
AMZN;-0,002465535;-0,001993076;0,14104179;0,002944971;-0,006353524;0,000159219;0,058492776;1,60E-14;0,315375277;1,78E-07;0,04823397
DLR;1,10E-05;-0,003490851;0,128207525;0,00415807;-0,006186819;0,985106371;0,000278365;2,31E-16;0,315494853;1,05E-15;0,074611771
TFC;0,005758044;0,000600638;-0,16163481;0,006282268;-0,006695165;4,58E-14;0,621204793;2,12E-12;0,319138229;2,77E-21;0,151582994
ULTA;0,004627599;0,001991163;-0,157843637;0,00537584;-0,005672296;4,71E-10;0,094316026;1,03E-09;0,320060901;7,95E-17;0,1229532
BDX;7,52E-05;-0,002823512;0,10423699;0,002939867;-0,006670158;0,876848601;0,000341597;2,07E-26;0,32016271;3,91E-12;0,058297407
PAYX;0,001712756;-0,003165286;-0,118930165;0,005586836;-0,006287478;0,002263098;0,00049409;1,54E-18;0,325102005;4,53E-29;0,140233366
TFX;0,001765619;-0,002335064;-0,130921254;0,004093545;-0,007063119;0,004319487;0,019598666;3,90E-19;0,326187739;3,48E-14;0,071166412
CVS;0,001277737;-0,001150153;0,112443822;0,00322136;-0,006614045;0,016253521;0,180834511;3,17E-22;0,326806467;3,56E-12;0,059363844
CAT;0,003210908;-7,60E-05;-0,12496449;0,003876905;-0,005709367;9,05E-08;0,937199133;4,86E-14;0,331654285;1,01E-13;0,090245902
PANW;-0,00143062;-0,000810612;0,151086753;0,004219719;-0,004988984;0,047538724;0,487413267;4,20E-08;0,332169299;1,94E-11;0,056349327
CAG;0,000578735;0,000889695;0,101272301;0,001429021;-0,006724641;0,23400123;0,258240087;1,01E-26;0,334838651;0,000664038;0,019737582
PM;0,002341812;-0,001299595;0,099112184;0,004200473;-0,006714359;1,10E-06;0,09274113;1,62E-27;0,336436175;2,84E-23;0,126164531
TMUS;0,000484443;-0,001096732;0,10966994;0,003666861;-0,006204314;0,360572561;0,201009913;6,22E-20;0,337897204;2,81E-15;0,070038117
SWK;0,00460787;0,000301065;-0,147204475;0,006650773;-0,007015774;1,90E-10;0,794776412;1,27E-14;0,340696616;1,20E-25;0,155995925
CTVA;0,001978165;-0,000236293;0,120321461;0,004583547;-0,006446296;0,000865862;0,805200807;1,53E-17;0,346806037;1,40E-18;0,097206505
GWW;0,002269306;-0,002074259;0,109373032;0,004375451;-0,005870147;3,14E-05;0,01831151;2,36E-17;0,350600369;5,74E-20;0,10558403
DUK;0,001794419;-0,002550033;0,096592936;0,004255325;-0,006413719;0,000196426;0,001065486;3,91E-25;0,35158606;1,42E-23;0,119469321
GILD;0,000288763;-0,000772756;-0,099995859;0,002462407;-0,006354498;0,562001348;0,337705416;3,50E-23;0,352562701;1,25E-08;0,037483695
ALL;0,002700683;-0,001459054;0,111337995;0,004083312;-0,00625898;1,35E-06;0,104609337;1,20E-18;0,353171034;5,49E-17;0,097685743
CDNS;-0,001295657;-0,001596307;0,129978922;0,005291824;-0,005157583;0,046063837;0,128672368;3,31E-10;0,353712939;2,32E-20;0,098519205
EMN;0,003958139;0,000785729;-0,125643524;0,004674864;-0,006392204;5,33E-10;0,441351714;1,74E-15;0,356281428;3,18E-17;0,119077386
LULU;3,78E-05;0,000719607;-0,144976274;0,005076892;-0,00564354;0,958764026;0,542677133;9,88E-10;0,358142646;2,16E-15;0,076326663
ALLE;0,003004948;-0,001999831;0,113594576;0,004704449;-0,006628647;1,93E-07;0,031183196;1,61E-19;0,358552248;1,30E-20;0,116878473
IEX;0,002123434;0,000498082;0,097667274;0,003717708;-0,006413938;1,87E-05;0,532970564;6,23E-24;0,359672523;1,05E-17;0,103156882
NXPI;0,001869182;0,00494649;0,150763522;0,005705357;-0,005765636;0,014468881;6,68E-05;2,25E-09;0,360398029;1,77E-17;0,119416733
AJG;0,001687315;-0,002093686;0,099266581;0,004062201;-0,005917682;0,000876242;0,010630806;6,44E-20;0,363313981;7,78E-20;0,099648929
CPAY;0,003531081;-0,002389072;-0,122638748;0,00540512;-0,006632968;2,34E-08;0,018678555;1,08E-16;0,364996351;1,84E-22;0,128027883
BR;0,000668883;-0,00296541;-0,094994205;0,004273565;-0,006171642;0,168828954;0,000172437;5,41E-23;0,365415525;2,98E-23;0,109894104
IPG;0,004959676;0,000476357;-0,130625389;0,004543174;-0,005777989;2,72E-13;0,659699124;9,20E-12;0,365660168;8,42E-15;0,119761261
HWM;0,006407263;0,000475927;-0,146234998;0,006079578;-0,005961663;4,83E-17;0,694367217;3,06E-10;0,365709611;3,24E-20;0,157789024
MCHP;0,000741807;0,001008098;0,152752501;0,005701737;-0,005850369;0,343422326;0,426242342;3,32E-09;0,366340698;1,07E-16;0,084091037
ITW;0,00330694;-0,001692044;0,094053345;0,004539333;-0,006093448;1,33E-11;0,030450691;9,23E-23;0,366831873;3,53E-26;0,156259953
MKTX;-0,000694888;-0,001112504;0,13174115;0,00376754;-0,007089693;0,306363349;0,311581566;2,70E-16;0,369197793;1,88E-10;0,047540204
NSC;0,003181583;-0,00121299;0,107077946;0,005405016;-0,006272297;1,20E-08;0,175520129;7,67E-19;0,370059611;5,40E-28;0,154410584
LIN;0,001378102;-0,002118139;0,094270121;0,004640483;-0,006058782;0,004762096;0,007331664;3,71E-22;0,370321063;9,30E-27;0,128177198
CTLT;-0,001394498;0,003410567;0,170559039;0,004761087;-0,006628743;0,11443263;0,01715086;2,81E-09;0,371103784;5,74E-10;0,062316178
USB;0,005219361;-0,001039471;-0,131252081;0,005309727;-0,006685549;4,21E-14;0,344819941;1,09E-14;0,371396861;7,16E-19;0,136260943
ARE;0,000731722;-0,002162267;-0,110710555;0,004762255;-0,006648069;0,202666476;0,02013883;1,54E-19;0,372007588;5,67E-21;0,097224274
CMI;0,004055041;-0,001455194;-0,102531099;0,004202964;-0,006135787;7,40E-14;0,092151697;2,62E-19;0,373623844;3,71E-19;0,135399345
KIM;0,005132217;0,001641327;-0,147184548;0,004830854;-0,006192925;5,82E-11;0,190430091;2,59E-10;0,378838102;9,08E-13;0,105239742
DTE;0,003015489;-0,000751897;0,098640244;0,004788174;-0,006666037;8,87E-09;0,371182664;2,06E-23;0,379345092;2,98E-25;0,144125392
J;0,002686042;-0,001767785;-0,1027028;0,004370316;-0,005803986;9,27E-07;0,044774877;6,08E-17;0,381879898;7,64E-20;0,110518296
FFIV;0,001072784;0,000907103;0,110980584;0,002807658;-0,006478057;0,068901989;0,341566433;7,68E-18;0,383226261;4,05E-08;0,042884595
LYB;0,005217811;0,001717337;-0,135644091;0,006565214;-0,006496569;1,76E-12;0,145957203;2,22E-12;0,389301956;3,26E-24;0,163742953
IVZ;0,004570731;-9,27E-05;0,155245653;0,006081647;-0,006443464;5,85E-08;0,94533279;1,08E-09;0,389835468;1,14E-16;0,105054558
ABBV;0,001257731;-0,00157767;-0,086465248;0,003551451;-0,006350386;0,0071712;0,036999189;6,09E-26;0,39118834;5,11E-18;0,087760466
MCD;0,00192303;-0,001184575;-0,084225874;0,00378746;-0,006175868;2,59E-05;0,107773335;7,33E-26;0,39125924;4,05E-21;0,111106308
MTD;1,95E-05;-0,000653426;-0,108067294;0,003855844;-0,005957532;0,973367221;0,48980312;1,26E-15;0,392095754;4,72E-14;0,064732273
