Date;Mkt-RF;SMB;HML;RF;rendimientos apple ;% Fundflows
 jul-2020;5,77;-2,33;-1,41;0,10%;15,28%;0,03%
 ago-2020;7,63;-0,22;-2,97;0,10%;19,42%;-1,10%
 sep-2020;-3,63;0,02;-2,71;0,10%;-10,82%;1,09%
 oct-2020;-2,1;4,38;4,25;0,10%;-6,19%;-1,76%
 nov-2020;12,47;5,8;2,09;0,10%;8,95%;4,38%
 dic-2020;4,63;4,89;-1,51;0,10%;10,85%;-1,78%
 ene-2021;-0,03;7,36;3,01;0,10%;-0,55%;-1,18%
 feb-2021;2,78;2,05;7,15;0,00%;-8,46%;5,51%
 mar-2021;3,08;-2,37;7,39;0,00%;0,73%;2,80%
 abr-2021;4,93;-3,19;-0,95;0,00%;7,35%;2,31%
 may-2021;0,29;-0,25;7,09;0,00%;-5,35%;0,77%
 jun-2021;2,75;1,68;-7,87;0,00%;9,45%;1,72%
 jul-2021;1,27;-3,97;-1,78;0,00%;6,30%;0,98%
 ago-2021;2,91;-0,42;-0,15;0,00%;4,01%;1,99%
 sep-2021;-4,37;0,71;5,08;0,00%;-7,05%;2,02%
 oct-2021;6,65;-2,35;-0,49;0,00%;5,70%;3,54%
 nov-2021;-1,55;-1,32;-0,45;0,00%;9,85%;1,65%
 dic-2021;3,1;-1,67;3,26;0,10%;7,16%;4,91%
 ene-2022;-6,25;-5,94;12,75;0,00%;-1,58%;-0,80%
 feb-2022;-2,29;2,19;3,08;0,00%;-5,69%;3,60%
 mar-2022;3,05;-1,61;-1,81;0,10%;5,59%;2,95%
 abr-2022;-9,46;-1,39;6,17;0,10%;-10,22%;-4,35%
 may-2022;-0,34;-1,83;8,39;0,30%;-5,75%;2,57%
 jun-2022;-8,43;2,1;-5,97;0,60%;-8,49%;2,37%
 jul-2022;9,57;2,81;-4,05;0,80%;17,28%;1,09%
 ago-2022;-3,77;1,4;0,29;1,90%;-3,31%;1,00%
 sep-2022;-9,35;-0,81;0,05;1,90%;-12,89%;0,86%
 oct-2022;7,83;0,06;8,01;2,30%;10,40%;3,63%
 nov-2022;4,6;-3,52;1,38;2,90%;-3,52%;0,60%
 dic-2022;-6,41;-0,69;1,37;3,30%;-13,04%;0,05%
 ene-2023;6,65;5,01;-4,01;3,50%;10,48%;0,57%
 feb-2023;-2,58;1,17;-0,81;3,40%;2,14%;-1,81%
 mar-2023;2,51;-5,51;-8,85;3,60%;11,21%;0,21%
 abr-2023;0,61;-3,35;-0,04;3,50%;2,86%;0,71%
 may-2023;0,35;1,61;-7,72;3,60%;4,36%;1,04%
 jun-2023;6,46;1,54;-0,26;4,00%;9,01%;3,48%
 jul-2023;3,21;2,08;4,11;4,50%;1,27%;2,70%
 ago-2023;-2,39;-3,16;-1,06;4,50%;-4,47%;-0,33%
 sep-2023;-5,24;-2,51;1,52;4,30%;-9,29%;2,18%
 oct-2023;-3,19;-3,87;0,19;4,70%;-0,26%;1,59%
 nov-2023;8,84;-0,02;1,64;4,40%;10,64%;2,86%
 dic-2023;4,85;6,34;4,93;4,30%;1,35%;6,30%
 ene-2024;0,7;-5,07;-2,39;47,00%;-4,31%;
