Change_date;Ticker_added;added;ticker_removed;removed
May 12, 2020;DPZ;Domino's Pizza;CPRI;Capri Holdings
April 6, 2020;N/A;N/A;M;Macy's
December 23, 2019;LYV;Live Nation Entertainment;AMG;Affiliated Managers Group
December 23, 2019;ZBRA;Zebra Technologies;TRIP;TripAdvisor
December 23, 2019;STE;Steris;MAC;Macerich
October 3, 2019;LVS;Las Vegas Sands;NKTR;Nektar Therapeutics
August 9, 2019;IEX;IDEX Corporation;FL;Foot Locker
December 3, 2018;FANG;Diamondback Energy;SRCL;Stericycle
June 18, 2018;BR;Broadridge Financial Solutions;RRC;Range Resources
June 18, 2018;HFC;HollyFrontier;AYI;Acuity Brands
March 19, 2018;TTWO;Take-Two Interactive;SIG;Signet Jewelers
March 19, 2018;SIVB;SVB Financial Group;PDCO;Patterson Companies
March 19, 2018;NKTR;Nektar Therapeutics;CHK;Chesapeake Energy
July 26, 2017;DRE;Duke Realty Corp;RIG;Transocean
July 26, 2017;AOS;A. O. Smith;BBBY;Bed Bath & Beyond
July 26, 2017;PKG;Packaging Corporation of America;MUR;Murphy Oil
July 26, 2017;RMD;ResMed;MNK;Mallinckrodt
June 19, 2017;ALGN;Align Technology;TDC;Teradata
June 19, 2017;ANSS;Ansys;R;Ryder System
March 20, 2017;AMD;Advanced Micro Devices;URBN;Urban Outfitters
March 20, 2017;RJF;Raymond James Financial;FTR;Frontier Communications
March 20, 2017;ARE;Alexandria Real Estate Equities;FSLR;First Solar
December 2, 2016;MAA;Mid-America Apartments;OI;Owens-Illinois
December 2, 2016;EVHC;Envision Healthcare;LM;Legg Mason
October 7, 2015;VRSK;Verisk Analytics;JOY;Joy Global
April 7, 2015;O;Realty Income Corporation;WIN;Windstream Communications
March 23, 2015;EQIX;Equinix;DNR;Denbury Resources
March 23, 2015;SLG;SL Green Realty;NBR;Nabors Industries
March 23, 2015;HBI;Hanesbrands;AVP;Avon Products
December 5, 2014;RCL;Royal Caribbean Cruises;BMS;Bemis Company
November 5, 2014;LVLT;Level 3 Communications;JBL;Jabil Circuit
September 20, 2014;URI;United Rentals;BTU;Peabody Energy
September 20, 2014;UHS;Universal Health Services;GHC;Graham Holdings
August 18, 2014;MNK;Mallinckrodt;RDC;Rowan Companies
July 2, 2014;MLM;Martin Marietta;X;United States Steel
June 20, 2014;XEC;Cimarex Energy;IGT;International Game Technology
